Latitude,Longitude,Ville
47.8389293,5.6350948,Bize
48.7274137,4.5558963,Blacy
47.57212,4.04284,Blacy
48.6723996,4.5831013,Blaise-sous-Arzillières
47.3850626,6.850774,Blamont
48.7910311,6.6708944,Blanche-Église
47.5285471,3.7813854,Blannay
49.159389,5.5382513,Blanzée
43.807279,7.362041,Blausasc
44.028371,5.198421,Blauvac
48.38076,5.0829971,Blécourt
47.8354427,3.6820978,"Bleigny-le-
Carreau"
48.5830746,6.7362,Blémerey
47.7005149,2.948338,Bléneau
48.7256649,4.7756008,Blesme
43.873333,6.371667,Blieux
49.1953058,3.8615469,Bligny
47.1065912,4.6696153,"Bligny-sur-
Ouche"
47.1317285,3.8198604,Blismes
47.8777,5.86727,Blondefontaine
47.6014104,7.4966546,Blotzheim
47.4292512,6.6148656,Blussangeaux
47.4291455,6.6067639,Blussans
48.13806,3.70445,Bœurs-en-Othe
49.1850818,5.6736014,Boinville-en-Woëvre
46.5372418,6.1364267,Bois-d'Amont
47.5475818,3.7165618,Bois-d'Arcy
46.3297594,4.3547812,"Bois-Sainte-
Marie"
49.4030637,5.7422167,Boismont
47.0611622,3.4238561,Bona
49.6161,3.94733,Boncourt
49.1679734,5.8294731,Boncourt
47.4442944,6.8482913,Bondeval
47.9315391,3.5257298,Bonnard
46.5589882,4.6246169,"Bonnay-Saint-
Ythaire"
47.1994118,6.7061482,Bonnétage
43.863371,7.19038,Bonson
49.0966039,5.5932365,Bonzée
47.5607155,7.0114299,Boron
46.7609911,5.3354572,Bosjean
48.2822385,4.6038391,Bossancourt
48.650186,3.5088968,Bouchy-le-Repos
47.9344356,4.8276732,Boudreville
47.7820619,5.8621341,Bougey
46.7727013,5.2964816,Bouhans
47.6955,6.42512,"Bouhans-lès-
Lure"
47.8880335,4.4838371,Bouix
48.5771176,3.9158371,Boulages
49.3814168,5.9544971,Boulange
43.863,4.693565,Boulbon
47.8943404,6.2411872,Bouligney
49.2932974,5.7357595,Bouligny
47.9233,5.94091,Bourbévelle
46.6193905,3.7737674,Bourbon-Lancy
48.35825,3.58725,Bourdenay
48.7198807,6.7293498,Bourdonnay
48.1666243,5.3492911,Bourdons-sur-Rognon
49.1975288,5.0426696,Boureuilles
47.7940831,5.3116698,Bourg
46.7284099,5.9549981,Bourg-de-Sirod
46.3088428,3.9885072,Bourg-le-Comte
48.8684165,6.7578359,Bourgaltroff
47.4139865,6.7796701,Bourguignon
47.8051,6.16299,"Bourguignon-
lès-Conflans"
47.7096,5.70026,"Bourguignon-
lès-Morey"
48.1322612,4.3552869,Bourguignons
47.5612305,6.9199163,Bourogne
47.9609837,5.9302862,Bousseraucourt
49.1212346,7.464688,Bousseviller
49.4349301,6.1894694,Boust
48.8254997,7.4800291,Bouxwiller
48.4121205,3.4969172,Bouy-sur-Orvin
43.824868,7.123947,Bouyon
48.31397,4.94927,Bouzancourt
46.8897667,4.7265722,Bouzeron
49.2901634,6.535247,Bouzonville
48.6476879,5.4156042,Boviolles
49.12322,5.13593,Brabant-en-Argonne
48.3756709,5.0281066,Brachay
47.9684626,4.2649429,Bragelogne-Beauvoir
49.1287186,5.8041711,Brainville
47.8814647,3.4810551,Branches
49.3930675,5.3046574,Brandeville
48.5915,4.55813,Brandonvillers
46.6437839,5.1762765,Branges
48.2309465,3.1192051,Brannay
47.232096,5.5677783,Brans
49.27101,3.8201518,Branscourt
49.1557486,5.6272748,Braquis
43.925525,6.125701,Bras-d'Asse
47.2617928,3.9368194,Brassy
48.5797974,5.1512136,Brauvilliers
43.987874,6.696167,Braux
49.02164,4.86232,Braux-Saint-Remy
49.09233,4.82788,Braux-Sainte-Cohière
47.1722544,4.2884732,"Brazey-en-
Morvan"
48.5789546,4.4030294,Bréban
47.5780121,6.9725909,Brebotte
47.6690134,7.072205,Bréchaumont
49.4387008,5.8811868,Bréhain-la-Ville
49.3826198,5.3279176,Bréhéville
49.1360583,7.4229093,Breidenbach
43.9439,7.5169,Breil-sur-Roya
47.7304391,4.6109221,"Brémur-et-
Vaurois"
47.7965438,5.278637,Brennes
47.2587408,5.6432313,Bresilley
46.5927082,4.7379332,"Bresse-sur-
Grosne"
47.5951527,6.9984377,Bretagne
47.4855021,6.637078,Bretigney
47.2176013,6.6362272,Bretonvillers
47.7013731,7.0684157,Bretten
49.2578615,6.5629868,Brettnach
47.7982385,6.3276174,Breuches
47.8353,6.46877,Breuchotte
47.4284818,3.4508872,Breugnon
49.3097743,3.7669776,Breuil-sur-Vesle
49.5820758,5.3890911,Breux
47.4184751,3.6055018,Brèves
47.5810354,6.7902931,Brevilliers
43.86201,6.750755,Briançonnet
46.3003863,4.1492544,Briant
47.8233027,6.2482285,Briaucourt
48.2097052,4.3562332,Briel-sur-Barse
46.5568589,5.0205355,Brienne
47.9933948,3.6159046,"Brienon-sur-
Armançon"
49.3358444,5.1801879,Brieulles-sur-Meuse
43.4058,6.0636,Brignoles
47.0070544,3.6969889,Brinay
47.2814385,3.4908313,"Brinon-sur-
Beuvron"
46.9089085,4.2107196,Brion
47.9158534,4.661547,Brion-sur-Ource
49.0057957,5.0573243,Brizeaux
46.3597,5.43065,Broissia
47.5372976,3.6911988,Brosses
47.7558,6.34591,"Brotte-lès-
Luxeuil"
49.5167755,5.2642989,Brouennes
49.2272345,3.7377669,Brouillet
48.78646,3.8779,Broussy-le-Grand
48.4972738,6.752236,Brouville
47.3322478,5.5220436,"Broye-
Aubigney-
Montseugny"
46.5951325,5.2356986,Bruailles
47.7007377,7.3606853,Bruebach
47.7165607,7.3189394,Brunstatt-Didenheim
48.74876,4.70294,Brusson
49.132143,5.9148402,Bruville
47.6139621,6.7855701,Buc
47.6565847,7.1501845,Buethwiller
47.8137391,6.0182889,Buffignécourt
47.64993,4.27483,Buffon
48.9161045,8.0063486,Buhl
47.2434093,3.0284092,Bulcy
47.8216722,4.5608249,Buncey
48.9017,7.1125,Burbach
48.9009773,7.1122271,Burbach
48.5041154,5.3567737,Bure
47.7381316,4.8955843,"Bure-les-
Templiers"
