code_insee,commune,dep,latitude,longitude
80109,Le Boisle,80,50.2717766,1.9852951
80526,Le Meillard,80,50.1701036,2.1948714
80501,Maison-Ponthieu,80,50.2068300,2.0429500
80503,Maizicourt,80,50.1957500,2.1215000
80519,Matigny,80,49.7957138,3.0080509
80563,Montigny-les-Jongleurs,80,50.1805600,2.1329500
80576,Moyencourt,80,49.7224525,2.9517075
80579,Muille-Villette,80,49.7248605,3.0670629
80589,Neuilly-le-Dien,80,50.2230000,2.0426400
80599,Noyelles-en-Chaussée,80,50.2086018,1.9798364
80605,Offoy,80,49.7607870,3.0098664
80631,Ponches-Estruval,80,50.3100243,1.8933262
80642,Prouville,80,50.1472800,2.1251300
80654,Quesnoy-le-Montant,80,50.1091008,1.6878916
80658,Quivières,80,49.8235884,3.0371966
80683,Rouy-le-Grand,80,49.7750533,2.9581706
80684,Rouy-le-Petit,80,49.7730024,2.9495446
80697,Saint-Acheul,80,50.1906500,2.1635500
80726,Sancourt,80,49.7726988,3.0410799
80764,Toeufles,80,50.0669569,1.7156891
80765,Tours-en-Vimeu,80,50.0352827,1.6806158
80771,Ugny-l'Équipée,80,49.8174970,3.0617442
80775,Valines,80,50.0760105,1.6213922
80794,Villecourt,80,49.7994951,2.9720511
80810,Vitz-sur-Authie,80,50.2529065,2.0643270
80811,Voyennes,80,49.7726259,2.9837625
80832,Yvrench,80,50.1777900,2.0043400
80833,Yvrencheux,80,50.1814422,1.9930522
02001,Abbécourt,,49.5959000,3.1803900
02002,Achery,,49.6913243,3.3898348
02004,Agnicourt-et-Séchelles,,49.7160000,3.9549800
02009,Alaincourt,,49.7652778,3.3763889
02010,Allemant,,49.4613000,3.4524700
02014,Amigny-Rouy,,49.6105591,3.3052683
02015,Ancienville,,49.2177778,3.2150000
02016,Andelain,,49.6433333,3.3711111
02017,Anguilcourt-le-Sart,,49.6897607,3.4337254
02018,Anizy-le-Château,,49.5052374,3.4431557
02019,Annois,,49.7168000,3.1792700
02020,Any-Martin-Rieux,,49.8807927,4.2210872
02021,Archon,,49.7396539,4.1177577
02025,Artemps,,49.7653389,3.1920179
02031,Aubenton,,49.8367456,4.2040955
02032,Aubigny-aux-Kaisnes,,49.7740510,3.1162661
02035,Audigny,,49.8695895,3.6462111
02074,Bertaucourt-Epourdon,,49.6275000,3.3888889
